file,param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-KL_param.csv,1,24.0452027057796,-13.312338185500868,8.07986760558906,8.9794896358726e-4,beat-KL,0-0-1-1,group_0,iy,6769.2307692307695,1,2,beat,1,0.15999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-KL_param.csv,2,5.415477061155428,1.1348451272633324,15.534180984118086,8.9794896358726e-4,beat-KL,0-0-1-1,group_0,iy,6769.2307692307695,1,2,beat,1,0.15999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-KL_param.csv,3,2.1507839406936196,-0.33825999055292877,3.03593483353192,8.9794896358726e-4,beat-KL,0-0-1-1,group_0,iy,6769.2307692307695,1,2,beat,1,0.15999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-KL_param.csv,4,3.548371200327064,7.836756088208669,15.969536454708026,8.9794896358726e-4,beat-KL,0-0-1-1,group_0,iy,6769.2307692307695,1,2,beat,1,0.15999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-SO_param.csv,0,196.02956821062415,1639.4551543257355,2290.693146194657,1.4828713618571e-4,beat-SO,0-0-0-1,group_0,iy,6948.717948717948,1,2,beat,1,0.16000000000000003,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-SO_param.csv,1,1.5448062835353855,1.8973967587702456,-24.692172331569378,1.4828713618571e-4,beat-SO,0-0-0-1,group_0,iy,6948.717948717948,1,2,beat,1,0.16000000000000003,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-SO_param.csv,2,0.4387362499521855,-12.62314916769153,-18.21934206624138,1.4828713618571e-4,beat-SO,0-0-0-1,group_0,iy,6948.717948717948,1,2,beat,1,0.16000000000000003,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-SO_param.csv,3,-0.24555409179064824,6.960395114208516,9.012818146835436,1.4828713618571e-4,beat-SO,0-0-0-1,group_0,iy,6948.717948717948,1,2,beat,1,0.16000000000000003,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-SO_param.csv,4,-0.22924175676589229,-10.26345491628768,-10.817135644778592,1.4828713618571e-4,beat-SO,0-0-0-1,group_0,iy,6948.717948717948,1,2,beat,1,0.16000000000000003,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W3_param.csv,0,171.6395904028792,1642.415220885156,2419.1172196117723,8.8717272687509e-4,beat-W3,0-0-1-1,group_0,iy,5692.3076923076915,1,2,beat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W3_param.csv,1,3.05992182652748,-19.60008331504337,9.588681976563244,8.8717272687509e-4,beat-W3,0-0-1-1,group_0,iy,5692.3076923076915,1,2,beat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W3_param.csv,2,4.396011599629509,-8.55755904391104,-15.342448325674988,8.8717272687509e-4,beat-W3,0-0-1-1,group_0,iy,5692.3076923076915,1,2,beat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W3_param.csv,3,-3.5851851253922837,0.6477786082908119,-17.426720053852723,8.8717272687509e-4,beat-W3,0-0-1-1,group_0,iy,5692.3076923076915,1,2,beat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W3_param.csv,4,0.6801882385273141,-4.68107136895076,-4.945877533432019,8.8717272687509e-4,beat-W3,0-0-1-1,group_0,iy,5692.3076923076915,1,2,beat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W6_param.csv,0,185.38315620395457,1848.8095946539172,2626.4174280431207,5.9480683603081e-4,beat-W6,0-0-1-1,group_0,iy,8025.641025641025,1,2,beat,1,0.15999999999999998,NA,NA,B,T,B,TRUE,internal
